VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
PX4	1726962312638	-9.38452	-671.479	-19.933	0.0360041	0.00814353	0.0265337	-0.998966	img_PX4__0_1726962312632907300.png
PX4	1726962314493	-9.17174	-670.667	-17.0691	0.0353899	-0.00144553	-0.0282594	-0.998973	img_PX4__0_1726962314486764900.png
PX4	1726962316395	-9.0275	-671.135	-14.4951	0.0359643	-0.00824695	0.0106703	-0.999262	img_PX4__0_1726962316390098600.png
PX4	1726962318375	-9.32351	-671.195	-11.756	0.0382147	0.010506	0.00811416	-0.999181	img_PX4__0_1726962318368938400.png
PX4	1726962320071	-9.17683	-670.785	-9.17947	0.0373093	0.000577313	-0.0173253	-0.999153	img_PX4__0_1726962320064702400.png
PX4	1726962321936	-8.99931	-671.125	-6.64106	0.0373376	-0.00978818	0.00798454	-0.999223	img_PX4__0_1726962321929961400.png
PX4	1726962323636	-9.26878	-671.18	-4.23745	0.0386877	0.00853581	0.00772388	-0.999185	img_PX4__0_1726962323630505500.png
PX4	1726962325139	-9.24106	-670.898	-2.10266	0.0383129	0.00485414	-0.0105216	-0.999199	img_PX4__0_1726962325134379100.png
PX4	1726962326625	-9.02665	-670.966	-0.61152	0.0374475	-0.00916904	-0.00345593	-0.999251	img_PX4__0_1726962326619546300.png
PX4	1726962328097	-9.11093	-671.177	0.462869	0.0374939	-0.00205989	0.00984864	-0.999246	img_PX4__0_1726962328090151500.png
PX4	1726962329552	-9.27882	-671.07	1.44636	0.0383898	0.00836941	0.00113574	-0.999227	img_PX4__0_1726962329545440500.png
PX4	1726962330977	-9.17955	-670.907	2.43372	0.0375424	0.000940437	-0.00887411	-0.999255	img_PX4__0_1726962330972911900.png
PX4	1726962332391	-9.04404	-671.021	3.38739	0.0367113	-0.00754416	-0.000574313	-0.999297	img_PX4__0_1726962332385507200.png
PX4	1726962333737	-9.13363	-671.161	4.28894	0.0367842	-0.00088039	0.0078948	-0.999292	img_PX4__0_1726962333733243900.png
PX4	1726962334999	-9.25103	-671.084	5.17484	0.0366705	0.00681151	0.00168267	-0.999303	img_PX4__0_1726962334992429300.png
PX4	1726962336357	-9.24921	-671.027	5.50428	0.0361036	0	0	-0.999348	img_PX4__0_1726962336350610000.png
PX4	1726962337527	-9.24977	-671.027	5.50534	0.0357683	0	0	-0.99936	img_PX4__0_1726962337519954300.png
PX4	1726962338687	-9.24977	-671.027	5.50534	0.0357683	0	0	-0.99936	img_PX4__0_1726962338680405900.png
PX4	1726962339889	-9.24977	-671.027	5.50534	0.0357683	0	0	-0.99936	img_PX4__0_1726962339884105800.png
PX4	1726962341476	-9.24977	-671.027	5.50534	0.0357683	0	0	-0.99936	img_PX4__0_1726962341466633500.png
